Product Code,Quantity,Product Description
47-2909,5,DC Components GBU4D Bridge Rectifier 4A 200V
11-0251,10,Suntan TS13DE1E472MSB0C0R 4700uF 25V +/-20% 16*25mm P:7.5mm Radial Alum Elec Cap
47-3086,20,Vishay BZX85C22 22V 1.3W Zener Diode
81-0700,5,TruSemi BD135 TO126 Transistor NPN 45V
36-0115,5,TruSemi BK-T220-0022-02 TO220 Bolt On Heat Sink
81-0712,5,TruSemi BD438 TO126 PNP Power Switch Transistor
68-0016,4,Suntan TSR-3386P-201R 200r Wr3386p 3/8 1-turn Cermet Trimmer
11-2930,10,Suntan TS13DJ1H100MSB030R 10uf 50V Low Imp Electrolytic Capacitor
11-0209,10,Suntan TS13DE1J2R2MSB030R 2.2uF 63V +/-20% 5*11mm P:2mm Radial Alum Elec Cap
88-3781,1,Vigortronix VTX-146-015-206 Toroidal Transformer 15VA 0-6V 0-6V
88-3796,1,Vigortronix VTX-146-050-215 Toroidal Transformer 50VA 0-15V
,,
Some other parts required..,,
